# Broken Wikilink Report

Generated: 2026-05-30 | Total broken: 152 | Unique missing targets: 50

> Missing [[wikilinks]] = nodes not yet created (atomic-term backfill) OR naming mismatches.
> Re-run: PYTHONUTF8=1 python 07_scripts/librarian.py link  | Do NOT use link --fix (Rule #2).

| #refs | Missing target | Referenced by |
| 2 | `Fiscal_Dominance_Monetary_Policy_Constraint` | Imf_Public_Expenditure_Analysis_Taxonomy_And_Policy_Issues.md |
| 2 | `Imf_Inflation_Tax_Seigniorage_Revenue` | Imf_Public_Expenditure_Analysis_Taxonomy_And_Policy_Issues.md |
| 2 | `Pillar2` | IRRBB_Standardised_Versus_Internal_Model_Approach.md |
| 2 | `SOT` | IRRBB_Standardised_Versus_Internal_Model_Approach.md |
| 2 | `JGB_Yield_Spillover_Transmission` | Japan_Sovereign_Carry_Trade_Framework.md |
| 2 | `PBC Medium Term Lending Facility Rate Transmission` | China_LPR_MLF_Decoupling_2024_Reform_Rationale.md |
| 2 | `QE Collateral Velocity Monetary Policy Transmission` | Collateral_Velocity_Reuse_Rate_Financial_Plumbing.md |
| 2 | `CB Three Techniques Short Rate Control Floor Corridor Allotment` | Endogenous_Bank_Money_Loans_Create_Deposits.md |
| 2 | `TGA Target Creep Bill Issuance Reserve Neutralization` | Global_Compression_RV_Fund_GSE_MBS_XCCY_Basis_Frontier.md |
| 2 | `Imf_Monetary_Survey_Money_Stock_Definitions` | Imf_Money_Multiplier_Ratio_Decomposition_Three_Agent.md |
| 2 | `EURIBOR` | Interest_Rate_Basis_Risk_Measurement_ALM.md |
| 2 | `PV01` | Interest_Rate_Basis_Risk_Measurement_ALM.md |
| 2 | `MBS` | Mortgage_Prepayment_Risk_ALM_Management.md |
| 2 | `CPR` | Mortgage_Prepayment_Risk_ALM_Management.md |
| 2 | `MSR` | Mortgage_Prepayment_Risk_ALM_Management.md |
| 2 | `Vasicek` | NMD_Stochastic_Three_Factor_Model.md |
| 2 | `Cholesky` | NMD_Stochastic_Three_Factor_Model.md |
| 2 | `SRF Structural Defects Morning Repo Fortification True Ceiling` | Repo_Market_Clearing_Segments_FICC_Triparty_GCF_DVP_NCCBR.md |
| 2 | `Swap Spreads Balance Sheet Plumbing Frictions` | SLR_Relief_Valve_Limited_Efficacy_UST_Demand.md |
| 2 | `Discount Window Stigma Self Reinforcing Equilibrium` | SRF_Structural_Defects_Morning_Repo_Fortification_True_Ceiling.md |
| 2 | `Treasury QE Duration Swap RRP Drain Mechanisms` | TQT_Tighter_Quantitative_Tightening_Coupon_Issuance_Duration_Channel.md |
| 2 | `Treasury Tbill Supply RRP Drain MMF Cash Routing` | Treasury_QE_Duration_Swap_RRP_Drain_Mechanisms.md |
| 2 | `Basel_Iv_Output_Floor_72pct_2028` | Sbv_Tt14_2025_Irb_Governance_Risk_Parameters.md |
